state,announcement
AK,"August 20, 2009"
         AL ,"August 20, 2009"
         AR ,"August 20, 2009"
         AZ ,"August 20, 2009"
         CA ,"August 20, 2009"
         CO ,"August 20, 2009"
         CT ,"August 20, 2009"
         DE ,"August 20, 2009"
         FL ,"August 20, 2009"
         GA ,"August 20, 2009"
         HI ,"August 20, 2009"
         IA ,"August 20, 2009"
         ID ,"August 20, 2009"
         IL ,"August 20, 2009"
         IN ,"August 20, 2009"
         KS ,"August 20, 2009"
         KY ,"August 20, 2009"
         LA ,"August 20, 2009"
         MA ,"August 20, 2009"
         MD ,"August 20, 2009"
         ME ,"August 20, 2009"
         MI ,"August 20, 2009"
         MN ,"August 20, 2009"
         MO ,"August 20, 2009"
         MS ,"August 20, 2009"
         MT ,"August 20, 2009"
         NC ,"August 20, 2009"
         ND ,"August 20, 2009"
         NE ,"August 20, 2009"
         NH ,"August 20, 2009"
         NJ ,"August 20, 2009"
         NM ,"August 20, 2009"
         NV ,"August 20, 2009"
         NY ,"August 20, 2009"
         OH ,"August 20, 2009"
         OK ,"August 20, 2009"
         OR ,"August 20, 2009"
         PA ,"August 20, 2009"
         RI ,"August 20, 2009"
         SC ,"August 20, 2009"
         SD ,"August 20, 2009"
         TN ,"August 20, 2009"
         TX ,"August 20, 2009"
         UT ,"August 20, 2009"
         VA ,"August 20, 2009"
         VT ,"August 20, 2009"
         WA ,"August 20, 2009"
         WI ,"August 20, 2009"
         WV ,"August 20, 2009"
         WY ,"August 20, 2009"
